decision_date,trade_date,stock_id,stock_name,source,current_status,decision,decision_level,action,candidate_grade,reason,risk_flags,positive_signals,warning_signals,blocking_risks,momentum_signal,confidence_score,total_score,multi_factor_score,final_market_score,liquidity_score,sector_strength_score,event_risk_level,position_size_suggestion,can_auto_trade,requires_manual_review,review_level,review_reason,data_quality_flags,investment_risk_flags,data_quality_note
2026-05-31,2026-05-29,2881,富邦金,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,85.0,70.3,69.6,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；資料不足：財報資料不足,財報資料不足,融資連增但股價不漲,財報資料不足；市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,2317,鴻海,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲；融資使用偏高,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；法人籌碼正向；流動性佳,融資連增但股價不漲；融資使用偏高,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,85.0,69.86,68.5,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資使用偏高,,融資連增但股價不漲；融資使用偏高,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,3046,建碁,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,融資連增但股價不漲,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,68.36,65.96,60.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲,,融資連增但股價不漲,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,8473,山林水,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,68.53,68.75,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,1568,倉佑,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲；融資暴增但法人賣超,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；融資暴增但法人賣超,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,66.21,66.45,75.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資暴增但法人賣超,,融資連增但股價不漲；融資暴增但法人賣超,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,8454,富邦媒,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲；PB 偏高,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；PB 偏高,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,66.2,66.6,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PB 偏高,,融資連增但股價不漲；PB 偏高,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；PB 偏高
2026-05-31,2026-05-29,1563,巧新,candidate,CANDIDATE,WATCH_ONLY,WATCH,observe_only,B,B 級改列觀察名單，降低過度進場；需人工確認；技術條件偏強，仍需人工確認市場與流動性,融資連增但股價不漲；PE 偏高,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；PE 偏高,,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,83.2,66.3,66.4,92.0,78.0,NONE,0.1,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；PE 偏高,,融資連增但股價不漲；PE 偏高,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；PE 偏高
2026-05-31,2026-05-29,3652,精聯,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,流動性偏低；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向,流動性偏低,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.89,68.58,65.07,50.0,68.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：流動性偏低；未通過既有風控,,流動性偏低,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,1524,耿鼎,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.66,66.83,67.12,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,2438,翔耀,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,流動性偏低；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強,流動性偏低；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,61.75,61.6,50.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：流動性偏低；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退；未通過既有風控,,流動性偏低；PE 為空或負值；EPS 為負；月營收 YoY 明顯衰退,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；EPS 為負；PE 為空或負值
2026-05-31,2026-05-29,02001L,富邦蘋果正二N,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,流動性偏低；未通過既有風控,,流動性偏低,未通過既有風控,動能分數偏強,50.0,82.45,62.33,60.0,50.0,50.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：流動性偏低；未通過既有風控；資料不足：基本面資料不足；估值資料不足；財報資料不足,基本面資料不足；估值資料不足；財報資料不足,流動性偏低,基本面資料不足；估值資料不足；財報資料不足；市場事件資料不足，採中性處理；基本面資料不足，採中性分數；估值資料不足，採中性分數；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,3257,虹冠電,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；月營收 YoY 明顯衰退；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；流動性佳,融資連增但股價不漲；月營收 YoY 明顯衰退,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,63.18,63.35,75.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；月營收 YoY 明顯衰退；未通過既有風控,,融資連增但股價不漲；月營收 YoY 明顯衰退,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,6141,柏承,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,PE 為空或負值；PB 偏高；EPS 為負；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,PE 為空或負值；PB 偏高；EPS 為負,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,64.09,66.1,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：PE 為空或負值；PB 偏高；EPS 為負；未通過既有風控,,PE 為空或負值；PB 偏高；EPS 為負,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；EPS 為負；PE 為空或負值；PB 偏高
2026-05-31,2026-05-29,3528,安馳,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,69.05,67.3,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,8110,華東,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,68.45,67.3,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：未通過既有風控,,,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,2356,英業達,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,68.57,67.3,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；未通過既有風控,,融資連增但股價不漲,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,2324,仁寶,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；融資使用偏高；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；融資使用偏高,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,66.93,68.4,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資使用偏高；未通過既有風控,,融資連增但股價不漲；融資使用偏高,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。
2026-05-31,2026-05-29,6770,力積電,candidate,CANDIDATE,NO_TRADE,HIGH_RISK,no_action,D,不交易名單，風險或資料條件不符合；未通過既有風控,融資連增但股價不漲；融資使用偏高；PE 偏高；未通過既有風控,相對強勢；短線相對強勢；產業 / 相對強弱偏強；營收動能正向；流動性佳,融資連增但股價不漲；融資使用偏高；PE 偏高,未通過既有風控,20 日相對強勢；5 日相對強勢；動能分數偏強,90.0,82.45,67.17,65.3,92.0,78.0,NONE,0.0,False,True,RISK_REVIEW,投資風險：融資連增但股價不漲；融資使用偏高；PE 偏高；未通過既有風控,,融資連增但股價不漲；融資使用偏高；PE 偏高,市場事件資料不足，採中性處理；資料來源缺失或快取資料，需人工確認。；PE 偏高
